,Gene Name,#PE = 1,#PE = 2,#PE = 3,#PE = 4,#PE = 5
295,LOC100525852 ,0,0,0,1,0
296,KCNV1 ,0,0,1,0,0
297,SLC24A4 ,0,0,2,0,0
298,OLFML1 ,1,0,0,0,0
299,LOC100516987 ,0,0,1,0,0
300,HSPE1 ,4,0,0,0,0
301,NSUN4 ,0,0,1,0,0
302,HSD11B1 ,2,0,0,0,0
303,ZNF75D ,0,0,0,2,0
304,MTHFD2L ,0,0,2,4,0
305,PTPRC ,7,0,0,1,0
306,FAM102B ,0,0,3,0,0
307,SMOX ,0,0,0,3,0
308,BRS3 ,0,0,1,0,0
309,LOC100628183 ,0,0,1,0,0
310,PSMB10 ,4,0,0,0,0
311,C5H12ORF57 ,2,0,0,0,0
312,VTI1B ,1,0,0,0,0
313,NPAS3 ,0,0,0,4,0
314,LTBP2 ,6,0,0,0,0
315,BDKRB1 ,0,0,1,0,0
316,GDAP1L1 ,2,0,0,0,0
317,LONRF2 ,0,0,0,3,0
318,MGP ,1,0,1,0,0
319,DNAJB6 ,5,0,0,1,0
320,LRRC39 ,0,0,0,2,0
321,ECHDC2 ,7,0,0,0,0
322,HOXC6 ,0,0,1,1,0
323,KCTD7 ,0,0,0,4,0
324,TYRO3 ,0,0,1,0,0
325,GINS2 ,0,0,1,0,0
326,IL22RA1 ,0,0,0,1,0
327,PAOX ,0,0,0,2,0
328,GPD1L ,2,0,0,0,0
329,SRC ,4,0,0,0,0
330,CBX1 ,3,0,0,0,0
331,MRGPRX2 ,0,0,1,0,0
332,PRDX2 ,4,1,0,0,0
333,SMAD9 ,0,0,2,0,0
334,PRADC1 ,0,0,0,1,0
335,DDC ,1,1,8,0,0
336,CNN3 ,4,0,0,0,0
337,SELENBP1 ,10,0,0,0,0
338,YAF2 ,0,0,0,4,0
339,HP1BP3 ,2,0,0,0,0
340,LCP1 ,3,0,0,0,0
341,SBNO1 ,0,0,3,0,0
342,PPP4R3C ,0,0,1,0,0
343,ATL1 ,4,0,0,0,0
344,MAGEL2 ,0,0,0,1,0
345,H2AC20 ,1,0,0,0,0
346,PLA2G12B ,0,0,0,1,0
347,FAN1 ,0,0,7,0,0
348,PROC ,0,1,0,6,0
349,SLC9A3R2 ,2,0,0,0,0
350,EIF3E ,1,0,0,0,0
351,RTBDN ,1,0,0,0,0
352,LOC110258293 ,0,0,1,0,0
353,FBN2 ,4,0,2,0,0
354,HDAC5 ,0,0,5,0,0
355,CALR ,3,0,0,0,0
356,PLS3 ,4,0,0,0,0
357,HIF3A ,0,0,0,2,0
358,FGL2 ,1,0,0,0,0
359,LOC100514444 ,0,0,1,0,0
360,PCDHGB1 ,0,0,0,1,0
361,ADGRE3 ,0,0,3,2,0
362,IL17F ,0,0,1,0,0
